# x	c	Phi
# 
0.000000000000000000e+00 7.015400890870573392e-01 6.327469971785430400e-03
2.040816326530612290e+00 6.993253238631638169e-01 5.139524032618163901e-02
4.081632653061224580e+00 6.933338082784101797e-01 9.696469973551463672e-02
6.122448979591837315e+00 6.755017190923173764e-01 1.399456157936747047e-01
8.163265306122449161e+00 6.263918851156388135e-01 1.788510313882831215e-01
1.020408163265306101e+01 4.863946333034724345e-01 2.235886625523309801e-01
1.224489795918367463e+01 3.859939641170361257e-01 2.629986917943838987e-01
1.428571428571428648e+01 3.508813012674288911e-01 2.967618145729235546e-01
1.632653061224489832e+01 3.486379933493873873e-01 3.295077031149984959e-01
1.836734693877551194e+01 3.812637968383825182e-01 3.596562600009969302e-01
2.040816326530612201e+01 4.680369861756264460e-01 3.892941406821305850e-01
2.244897959183673564e+01 5.892428870578630962e-01 4.164599376726670910e-01
2.448979591836734926e+01 6.607298227712743444e-01 4.406272614762244411e-01
2.653061224489795933e+01 6.874589547122799127e-01 4.628380378919259575e-01
2.857142857142857295e+01 6.945946216888808644e-01 4.825176100877056062e-01
3.061224489795918302e+01 6.923760000933727454e-01 4.993596568453590456e-01
3.265306122448979664e+01 6.701695273311802925e-01 5.140240686737911346e-01
3.469387755102040671e+01 5.769946855180388967e-01 5.258349920032442393e-01
3.673469387755102389e+01 4.145640616591810823e-01 5.358369908743866317e-01
3.877551020408163396e+01 3.293794601111449949e-01 5.436249980629308531e-01
4.081632653061224403e+01 3.093462789941661129e-01 5.500572644028750569e-01
4.285714285714286120e+01 3.058258622793260662e-01 5.549946500530974491e-01
4.489795918367347127e+01 3.048942756915813956e-01 5.585467246287058041e-01
4.693877551020408134e+01 3.043972416144268278e-01 5.600853920271442465e-01
4.897959183673469852e+01 3.039062132220362034e-01 5.595751498656347245e-01
5.102040816326530859e+01 3.033167529632083137e-01 5.568971773274323800e-01
5.306122448979591866e+01 3.028065716503743343e-01 5.525341947114918995e-01
5.510204081632652873e+01 3.030711556252412286e-01 5.464292420904178771e-01
5.714285714285714590e+01 3.075968549207283576e-01 5.390218346460129428e-01
5.918367346938775597e+01 3.315604441989594142e-01 5.290156833545642812e-01
6.122448979591836604e+01 4.280014922221782592e-01 5.163745230832599287e-01
6.326530612244898322e+01 5.854212994406234882e-01 5.023589692446173149e-01
6.530612244897959329e+01 6.520000050546050918e-01 4.842615204855402200e-01
6.734693877551021046e+01 6.142777071240017595e-01 4.640371361158418528e-01
6.938775510204081343e+01 4.736865488475074937e-01 4.421172453667784885e-01
7.142857142857143060e+01 3.485618558965278835e-01 4.184953816817372774e-01
7.346938775510204778e+01 3.085794014904151283e-01 3.961039708621823530e-01
7.551020408163265074e+01 2.978126426787386927e-01 3.732826108046087277e-01
7.755102040816326792e+01 2.950942163454561840e-01 3.509207619099683484e-01
7.959183673469388509e+01 2.948710295690378791e-01 3.319356335915004119e-01
8.163265306122448806e+01 2.956139093832603759e-01 3.154138669272134043e-01
8.367346938775510523e+01 2.975513200939264302e-01 3.031707862513707830e-01
8.571428571428572241e+01 3.001883873660575186e-01 2.985036727223708275e-01
8.775510204081632537e+01 3.030659407745088796e-01 3.048027698212809056e-01
8.979591836734694255e+01 3.068730655281176611e-01 3.202211840975628387e-01
9.183673469387755972e+01 3.128419841307850113e-01 3.456087068284602326e-01
9.387755102040816269e+01 3.136337054883979181e-01 3.953406458086510811e-01
9.591836734693877986e+01 3.117678070143402036e-01 4.793986820592597287e-01
9.795918367346939704e+01 3.061985910861120819e-01 5.931439678211395394e-01
1.000000000000000000e+02 3.009539267076672964e-01 7.400893329499695916e-01
