time	free_energy

0.000000000000000000e+00 7.624996972427155129e+01
5.000000000000000000e+00 1.712881075213525151e+02
1.000000000000000000e+01 1.540306031649239742e+02
2.000000000000000000e+01 1.448454393425019475e+02
5.000000000000000000e+01 1.389253207186619647e+02
1.000000000000000000e+02 1.338623620737587885e+02
2.000000000000000000e+02 1.260689825187154156e+02
3.000000000000000000e+02 1.197405001696966167e+02
4.000000000000000000e+02 1.142832018483659908e+02
5.000000000000000000e+02 1.088254966189991109e+02
6.000000000000000000e+02 1.036637028816756185e+02
7.000000000000000000e+02 1.012681206139468344e+02
8.000000000000000000e+02 1.001114063542904233e+02
9.000000000000000000e+02 9.939614782813930560e+01
1.000000000000000000e+03 9.886129763227202716e+01
