# x	c	Phi
# 
0.000000000000000000e+00 7.096275174970516630e-01 6.874797964327145246e-03
2.040816326530612290e+00 7.081372254123218246e-01 5.332229297520404976e-02
4.081632653061224580e+00 7.057918371816526149e-01 1.035207190273094435e-01
6.122448979591837315e+00 7.032712366284440408e-01 1.508126805588286823e-01
8.163265306122449161e+00 7.002370034235048113e-01 1.952381685129878919e-01
1.020408163265306101e+01 6.952078902825833406e-01 2.368602424440899579e-01
1.224489795918367463e+01 6.848893717686567184e-01 2.757815189491345520e-01
1.428571428571428648e+01 6.667459356993910014e-01 3.121568770554413175e-01
1.632653061224489832e+01 6.477516703584780267e-01 3.461687585002873879e-01
1.836734693877551194e+01 6.493288399119283572e-01 3.779466901877908680e-01
2.040816326530612201e+01 6.667894605997058965e-01 4.074947920351267849e-01
2.244897959183673564e+01 6.824030897547355146e-01 4.347074986554032017e-01
2.448979591836734926e+01 6.904459705587157048e-01 4.594479895544071879e-01
2.653061224489795933e+01 6.913031927764964335e-01 4.816147256121118825e-01
2.857142857142857295e+01 6.796970963752162476e-01 5.011648953323155631e-01
3.061224489795918302e+01 6.250192972712128592e-01 5.181359346265090871e-01
3.265306122448979664e+01 4.799591205556123508e-01 5.327465335042745886e-01
3.469387755102040671e+01 3.427472502703155510e-01 5.455044768436486669e-01
3.673469387755102389e+01 3.068080283830714738e-01 5.568589264045242793e-01
3.877551020408163396e+01 3.005674343859356390e-01 5.669063067559328983e-01
4.081632653061224403e+01 2.996660023742730439e-01 5.756089531915000723e-01
4.285714285714286120e+01 2.996883769793883268e-01 5.829074079283410592e-01
4.489795918367347127e+01 2.998805703704365833e-01 5.887423731828712592e-01
4.693877551020408134e+01 3.001079856972577176e-01 5.930590076868998972e-01
4.897959183673469852e+01 3.003419847145376020e-01 5.958085127143062376e-01
5.102040816326530859e+01 3.005727959704915797e-01 5.969301870424539302e-01
5.306122448979591866e+01 3.008046193295599857e-01 5.964090113172881846e-01
5.510204081632652873e+01 3.010417545526252181e-01 5.942179540377954261e-01
5.714285714285714590e+01 3.012879518915705379e-01 5.903374218143540020e-01
5.918367346938775597e+01 3.015421565565111206e-01 5.847562784075833742e-01
6.122448979591836604e+01 3.017982002597890401e-01 5.774749413894844086e-01
6.326530612244898322e+01 3.020542107145482436e-01 5.685100655027318650e-01
6.530612244897959329e+01 3.023331429420037519e-01 5.578998775498562601e-01
6.734693877551021046e+01 3.027024399525738985e-01 5.457095810663220581e-01
6.938775510204081343e+01 3.032620195920469608e-01 5.320382450961191889e-01
7.142857142857143060e+01 3.040669686053552589e-01 5.170312826357741365e-01
7.346938775510204778e+01 3.050546197071198340e-01 5.009030555550011421e-01
7.551020408163265074e+01 3.061510548466859216e-01 4.839697707896418732e-01
7.755102040816326792e+01 3.075340080421110622e-01 4.666880122391022234e-01
7.959183673469388509e+01 3.098616809325824839e-01 4.496965308122181648e-01
8.163265306122448806e+01 3.145427319436723823e-01 4.338659299550718940e-01
8.367346938775510523e+01 3.242100620194225402e-01 4.203649228111663305e-01
8.571428571428572241e+01 3.425858554998983951e-01 4.107524835266507246e-01
8.775510204081632537e+01 3.715663860778156691e-01 4.071091149561998357e-01
8.979591836734694255e+01 4.052346651135128597e-01 4.122280449930332824e-01
9.183673469387755972e+01 4.297501291326050743e-01 4.298887110157904035e-01
9.387755102040816269e+01 4.345161417029483886e-01 4.652188576233247663e-01
9.591836734693877986e+01 4.212747773044309141e-01 5.251473544888073386e-01
9.795918367346939704e+01 4.011028240479208029e-01 6.189822237983522157e-01
1.000000000000000000e+02 3.889816711276052885e-01 7.370037960652291442e-01
