# x	c	Phi
# 
0.000000000000000000e+00 5.956957415453760785e-01 6.756317186106964440e-03
2.040816326530612290e+00 5.887813881373420433e-01 5.280035467555083128e-02
4.081632653061224580e+00 5.714853149190608494e-01 1.029991345482988707e-01
6.122448979591837315e+00 5.457646706564381889e-01 1.508391397425833114e-01
8.163265306122449161e+00 5.144602102960630363e-01 1.964354748138127105e-01
1.020408163265306101e+01 4.840975813125895089e-01 2.399165856706693412e-01
1.224489795918367463e+01 4.620920962624120998e-01 2.813955820604571167e-01
1.428571428571428648e+01 4.528511650760514429e-01 3.209461278303707976e-01
1.632653061224489832e+01 4.576023735184389651e-01 3.585941316084519936e-01
1.836734693877551194e+01 4.759038316901053056e-01 3.943201435465961135e-01
2.040816326530612201e+01 5.049837339996126051e-01 4.280627304944290556e-01
2.244897959183673564e+01 5.381479993371847126e-01 4.597244709239915461e-01
2.448979591836734926e+01 5.668274319388858506e-01 4.891902517433669439e-01
2.653061224489795933e+01 5.858417447994528349e-01 5.163566402382890885e-01
2.857142857142857295e+01 5.953997085041767834e-01 5.411545010625493646e-01
3.061224489795918302e+01 5.975294838009187481e-01 5.635516294688517336e-01
3.265306122448979664e+01 5.914262544234365482e-01 5.835428636934791857e-01
3.469387755102040671e+01 5.722169012205339245e-01 6.011453093916646617e-01
3.673469387755102389e+01 5.355455123434155196e-01 6.164079242819763271e-01
3.877551020408163396e+01 4.862096306155688219e-01 6.294237436904774885e-01
4.081632653061224403e+01 4.396994949436904276e-01 6.403161268506829540e-01
4.285714285714286120e+01 4.096407744075336588e-01 6.491915313599575521e-01
4.489795918367347127e+01 3.969902157217265470e-01 6.560988960589819730e-01
4.693877551020408134e+01 3.944397543276939033e-01 6.610328268708799415e-01
4.897959183673469852e+01 3.955884417600444847e-01 6.639660704391178170e-01
5.102040816326530859e+01 3.983680886710956881e-01 6.648610932467390322e-01
5.306122448979591866e+01 4.049280483003583897e-01 6.637165553633536108e-01
5.510204081632652873e+01 4.187922134865761370e-01 6.605411859331424829e-01
5.714285714285714590e+01 4.412932022824325173e-01 6.553206384384645533e-01
5.918367346938775597e+01 4.684162422501109702e-01 6.480202657271697531e-01
6.122448979591836604e+01 4.920280072504107372e-01 6.385977017660082744e-01
6.326530612244898322e+01 5.045665980112291615e-01 6.270320511800590024e-01
6.530612244897959329e+01 5.025445367117310491e-01 6.133545310621559832e-01
6.734693877551021046e+01 4.873847655519523148e-01 5.976699145004216174e-01
6.938775510204081343e+01 4.646982604507260972e-01 5.801657176442007735e-01
7.142857142857143060e+01 4.418017940260521859e-01 5.611105087346636155e-01
7.346938775510204778e+01 4.240136693279986657e-01 5.408506049807882965e-01
7.551020408163265074e+01 4.129496160763222457e-01 5.198203203584539356e-01
7.755102040816326792e+01 4.085491985618632804e-01 4.985730451981957856e-01
7.959183673469388509e+01 4.126211485840299287e-01 4.778261954961595115e-01
8.163265306122448806e+01 4.303917267201315955e-01 4.585086743710765633e-01
8.367346938775510523e+01 4.667397069193686132e-01 4.418097678717355370e-01
8.571428571428572241e+01 5.174073990960628144e-01 4.292522982455138081e-01
8.775510204081632537e+01 5.660044966149875290e-01 4.228350477488413972e-01
8.979591836734694255e+01 5.955831753451050758e-01 4.252697441793379940e-01
9.183673469387755972e+01 5.992598382989841044e-01 4.402866020240853162e-01
9.387755102040816269e+01 5.760345166685245655e-01 4.729890137514886073e-01
9.591836734693877986e+01 5.275278788923837281e-01 5.302975798390502371e-01
9.795918367346939704e+01 4.691445251994402765e-01 6.215310390757650127e-01
1.000000000000000000e+02 4.385797499740909933e-01 7.373053923032044654e-01
